Term,LoanStatus,BorrowerAPR,ProsperScore,ListingCategory,EmploymentStatus,IsBorrowerHomeowner,IncomeRange,StatedMonthlyIncome,LoanOriginalAmount,MonthlyLoanPayment,Investors
36,Irrecoverable,0.35797,5,Household Expenses,Other,True,"$50,000-74,999",5500.0,4000,173.71,10
36,Irrecoverable,0.28032,5,Medical/Dental,Employed,False,"$25,000-49,999",2500.0,2000,78.67,30
60,Completed,0.30748,3,Debt Consolidation,Employed,False,"$25,000-49,999",3885.916667,4000,124.76,37
36,Completed,0.11296,9,Debt Consolidation,Full-time,True,"$75,000-99,999",6666.666667,4000,0.0,121
36,Completed,0.12782,9,Other,Employed,False,"$25,000-49,999",3750.0,10000,322.62,30
36,Completed,0.08191,10,Other,Employed,False,"$100,000+",13083.333333,16000,500.28,326
36,Irrecoverable,0.29394,5,Debt Consolidation,Employed,True,"$100,000+",9166.666667,2000,80.07,2
12,Completed,0.35843,3,Debt Consolidation,Employed,False,"$50,000-74,999",4777.0,3000,287.6,32
36,Completed,0.2951,6,Other,Employed,False,"$100,000+",8333.333333,4500,181.28,49
36,Irrecoverable,0.35643,5,Other,Employed,True,"$50,000-74,999",5314.25,2500,108.87,50
36,Irrecoverable,0.32538,2,Other,Employed,False,"$50,000-74,999",4750.0,4000,166.73,42
36,Completed,0.13109,8,Auto & Other Vehicles,Full-time,True,"$75,000-99,999",6466.666667,5600,183.31,114
36,Irrecoverable,0.33553,6,Other,Employed,False,"$25,000-49,999",3250.0,4000,168.89,11
36,Completed,0.33973,3,Debt Consolidation,Employed,True,"$25,000-49,999",3333.333333,4000,169.78,35
36,Completed,0.35643,3,Other,Employed,True,"$75,000-99,999",6250.0,4000,174.2,48
36,Completed,0.35858,5,Debt Consolidation,Employed,False,"$25,000-49,999",2250.0,3500,152.83,54
60,Irrecoverable,0.27462,7,Other,Employed,True,"$50,000-74,999",5416.666667,7000,205.01,152
36,Irrecoverable,0.35356,3,Household Expenses,Not employed,False,$0,0.0,4000,172.76,73
36,Completed,0.15529,9,Debt Consolidation,Full-time,True,"$100,000+",15000.0,10000,322.34,293
36,Irrecoverable,0.26681,2,Business,Self-employed,True,"$50,000-74,999",5000.0,15000,579.63,21
36,Irrecoverable,0.30532,6,Auto & Other Vehicles,Employed,False,"$25,000-49,999",2666.666667,2000,81.64,27
36,Irrecoverable,0.35797,2,Debt Consolidation,Employed,False,"$25,000-49,999",2833.333333,4000,173.71,13
36,Completed,0.14476,9,Debt Consolidation,Full-time,True,"$50,000-74,999",5833.333333,2000,66.75,164
